activity_id,smiles,pAff
22974031,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)CCCCCCCCCCOc2ccc(Br)cc2)[C@@H](O)[C@H]1O,4.98
3442261,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,5.19
13978736,O=C(C(c1ccc(Cl)cc1)c1cccnc1)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,5.16
2991529,O=C(/C=C/c1cccc2ccn(Cc3ccc(Cl)cc3Cl)c12)NS(=O)(=O)c1cccs1,5.09
16513909,CC(=C/c1ccccc1)/C=C1\SC(N(C)c2ccc(O)cc2)=NC1=O,8.0
13947065,CNCCOCCn1nc(OC)c2cc([N+](=O)[O-])ccc21,4.57
6328661,N#Cc1ccn(CC23CNCC[C@]2(c2ccc(Cl)c(Cl)c2)C3)c1,7.5
19282843,COc1ccc(-c2cn(C[C@H](O)[C@H]3OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)nn2)cc1,4.58
25078086,COC1=C(OC)C(C)(O)c2cc(C)c(C(C)=O)c(O)c2C1=O,4.38
12179007,O=c1cc(-c2ccc(OCCOCCN(CCO)CCOCCOc3ccc(-c4cc(=O)c5ccccc5o4)cc3)cc2)oc2ccccc12,5.16
7960451,COc1ccc(N/N=C2\S/C(=C(/C#N)C(=O)Nc3ccc(C)cc3)N(c3ccccc3)C2=O)cc1,4.47
3007701,Cc1ncn2c1Cn1cc(CO)nc1-c1cc(Br)ccc1-2,8.09
25740591,CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,5.35
17648824,CC(C)NC(=O)c1ccc(OCc2conc2-c2ccccn2)nc1,7.88
2033579,COc1cc2c3c(c4cc(OC)c(OC)cc4c2cc1OC)[C@H](O)[C@@H]1CCCN1C3,5.97
960060,COCCOCn1cc(C(N)=S)c2c(N)ncnc21,5.89
22975882,CC(=O)OC[C@H]1OC(OC(C)=O)[C@H](NC(=O)c2cn(C3CC3)c3cc(N4CCN(C(C)=O)CC4)c(F)cc3c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,5.44
17614553,O=c1c2ccccc2[se]n1CCCn1[se]c2ccccc2c1=O,7.4
2120773,CCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,6.22
17771963,COC(=O)C1CCN(CCN2CCN(C(=O)Cn3cc(NC(=O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,9.16
12671773,N#Cc1c(-c2ccc(Cl)cc2)nc(SCc2ccccc2)nc1N1CCC(C(=O)c2ccccc2)CC1,5.01
18078175,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\OCC(O)CO,6.27
5508514,CCOc1cc(/C=C(\C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OCc1ccc(Br)cc1,5.76
3557255,Cl.Cl.NCCCC[C@H](N)C(=O)CCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,4.84
25678187,Cn1c2c([n+](C)c1-c1ccco1)C(=O)c1ccccc1C2=O.[I-],5.16
1666547,CO[C@]1(C#CC(O)C2c3ccccc3C=Cc3ccccc32)CN2CCC1CC2,7.0
16491837,CC(=O)c1cc(-c2ccccc2S(C)(=O)=O)c2cc(CNC(=O)OC(C)(C)C)ccn12,6.17
1792957,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)NCCc1ccccc1,5.59
