rec_id,lig_code,smiles,BM_scaffold,BM_scaffold_canon,scaffold_index,cluster_label
8jxu_1.pdb_8jxu_1_ADP_B.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,109.0
8ftm_1.pdb_8ftm_1_ADP_E.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,134.0
3be4_1.pdb_3be4_1_AP5_C.pdb,AP5,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)n5cnc6c(N)ncnc56)[C@@H](O)[C@H]3O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,12,
3rgk_1.pdb_3rgk_1_HEM_B.pdb,HEM,CC1=C(CCC(O)=O)C2=Cc3n4[Fe]5|6|N2=C1C=c7n5c(=CC8=N|6C(=Cc4c(C)c3CCC(O)=O)C(=C8C=C)C)c(C)c7C=C,,,0,23.0
4edr_1.pdb_4edr_1_UTP_E.pdb,UTP,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P@](O)(=O)O[P@](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,1,32.0
6nr1_2.pdb_6nr1_2_VCA_G.pdb,VCA,CCCCCC\C=C/CCCCCCCCCC(O)=O,,,0,12.0
1u8x_1.pdb_1u8x_1_NAD_D.pdb,NAD,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,62.0
2kb2_1.pdb_2kb2_1_FMN_B.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,34.0
3gki_1.pdb_3gki_1_CLR_D.pdb,CLR,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3[C@@H]2C1,C1=C2CCCCC2C2CCC3CCCC3C2C1,15,38.0
6jmf_1.pdb_6jmf_1_9FC_D.pdb,9FC,Cc1cccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)c(cc2C(N)=O)C#N)c1,c1ccc(Nc2cccc(NC3CCCCC3)n2)cc1,c1ccc(Nc2cccc(NC3CCCCC3)n2)cc1,16,36.0
