rec_id,lig_code,smiles,BM_scaffold,BM_scaffold_canon,scaffold_index,cluster_label
1xf9_7.pdb_1xf9_7_ATP_O4.pdb,ATP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,17.0
1xf9_7.pdb_1xf9_7_ATP_O3.pdb,ATP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,17.0
1xf9_7.pdb_1xf9_7_ATP_O2.pdb,ATP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,17.0
1p75_3.pdb_1p75_3_T5A_X3.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,104.0
1p75_3.pdb_1p75_3_T5A_J2.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,35.0
1p75_3.pdb_1p75_3_T5A_X4.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,104.0
1p75_3.pdb_1p75_3_T5A_U5.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,35.0
1p75_3.pdb_1p75_3_T5A_J1.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,35.0
1p75_3.pdb_1p75_3_T5A_R5.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,19.0
1p75_3.pdb_1p75_3_T5A_R6.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,19.0
1p75_3.pdb_1p75_3_T5A_U6.pdb,T5A,CC1=CN([C@H]2C[C@H](O)[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)O2)C(=O)NC1=O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)O2)c(=O)[nH]1,1063,35.0
4gvl_2.pdb_4gvl_2_AMP_M1.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,121.0
4gvl_2.pdb_4gvl_2_AMP_P1.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,161.0
4gvl_2.pdb_4gvl_2_AMP_F1.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,84.0
4gvl_2.pdb_4gvl_2_AMP_M2.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,121.0
4gvl_2.pdb_4gvl_2_AMP_F2.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,84.0
4gvl_2.pdb_4gvl_2_AMP_J1.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,34.0
4gvl_2.pdb_4gvl_2_AMP_P2.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,161.0
4gvl_2.pdb_4gvl_2_AMP_J2.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,34.0
3ch5_1.pdb_3ch5_1_GDP_E1.pdb,GDP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,
3ch5_1.pdb_3ch5_1_GDP_E2.pdb,GDP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,
3ch5_1.pdb_3ch5_1_GDP_E3.pdb,GDP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,
3ch5_1.pdb_3ch5_1_GDP_E4.pdb,GDP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,
8fs3_1.pdb_8fs3_1_AGS_M.pdb,AGS,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=S)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,27.0
8fs3_1.pdb_8fs3_1_AGS_P.pdb,AGS,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=S)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,109.0
8fs3_1.pdb_8fs3_1_AGS_L.pdb,AGS,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=S)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,109.0
8fs3_1.pdb_8fs3_1_AGS_Q.pdb,AGS,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=S)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,69.0
8fs3_1.pdb_8fs3_1_ADP_S.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,82.0
1nvm_3.pdb_1nvm_3_NAD_N2.pdb,NAD,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,114.0
1nvm_3.pdb_1nvm_3_NAD_KA1.pdb,NAD,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,147.0
1nvm_3.pdb_1nvm_3_NAD_W2.pdb,NAD,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,147.0
2ohj_3.pdb_2ohj_3_FMN_J2.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,96.0
2ohj_3.pdb_2ohj_3_FMN_J1.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,96.0
2ohj_3.pdb_2ohj_3_FMN_O2.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,28.0
2ohj_3.pdb_2ohj_3_FMN_AA1.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,28.0
2ohj_3.pdb_2ohj_3_FMN_O1.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,28.0
2ohj_3.pdb_2ohj_3_FMN_AA2.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,28.0
2ohj_3.pdb_2ohj_3_FMN_V1.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,28.0
2ohj_3.pdb_2ohj_3_FMN_V2.pdb,FMN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P](O)(O)=O)c2cc1C,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,14,28.0
8soq_3.pdb_8soq_3_DND_R1.pdb,DND,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[n+]5cccc(c5)C(O)=O)[C@@H](O)[C@H]3O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,146.0
8soq_3.pdb_8soq_3_DND_R4.pdb,DND,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[n+]5cccc(c5)C(O)=O)[C@@H](O)[C@H]3O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,146.0
8soq_3.pdb_8soq_3_DND_R6.pdb,DND,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[n+]5cccc(c5)C(O)=O)[C@@H](O)[C@H]3O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,146.0
8soq_3.pdb_8soq_3_DND_R2.pdb,DND,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[n+]5cccc(c5)C(O)=O)[C@@H](O)[C@H]3O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,146.0
3l4b_1.pdb_3l4b_1_AMP_M.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,72.0
3l4b_1.pdb_3l4b_1_AMP_I.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,108.0
3l4b_1.pdb_3l4b_1_AMP_J.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,60.0
3l4b_1.pdb_3l4b_1_AMP_L.pdb,AMP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,58.0
5i4r_1.pdb_5i4r_1_GDP_J.pdb,GDP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,152.0
2r9r_2.pdb_2r9r_2_NAP_Z3.pdb,NAP,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O[P](O)(O)=O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,77.0
2r9r_2.pdb_2r9r_2_NAP_Z4.pdb,NAP,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O[P](O)(O)=O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,77.0
2r9r_2.pdb_2r9r_2_NAP_Z2.pdb,NAP,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O[P](O)(O)=O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,77.0
2r9r_2.pdb_2r9r_2_NAP_Z1.pdb,NAP,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P@@](O)(=O)OC[C@H]3O[C@H]([C@H](O[P](O)(O)=O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,13,77.0
6v4l_1.pdb_6v4l_1_AGS_E1.pdb,AGS,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=S)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,85.0
6v4l_1.pdb_6v4l_1_AGS_E2.pdb,AGS,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=S)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,85.0
7w4o_1.pdb_7w4o_1_ATP_R.pdb,ATP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,59.0
7w4o_1.pdb_7w4o_1_E2H_Q.pdb,E2H,CC1(CC1)NC2=N[S](=O)(=O)c3sc(Cl)cc3N2,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,1307,159.0
7w4o_1.pdb_7w4o_1_ADP_N.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,63.0
7w4o_1.pdb_7w4o_1_E2H_V.pdb,E2H,CC1(CC1)NC2=N[S](=O)(=O)c3sc(Cl)cc3N2,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,1307,159.0
7w4o_1.pdb_7w4o_1_ADP_X.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,63.0
7w4o_1.pdb_7w4o_1_ADP_I.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,63.0
7w4o_1.pdb_7w4o_1_E2H_AA.pdb,E2H,CC1(CC1)NC2=N[S](=O)(=O)c3sc(Cl)cc3N2,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,1307,159.0
7w4o_1.pdb_7w4o_1_ADP_S.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,63.0
7w4o_1.pdb_7w4o_1_ATP_BA.pdb,ATP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,59.0
7w4o_1.pdb_7w4o_1_ATP_W.pdb,ATP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,59.0
7w4o_1.pdb_7w4o_1_ATP_M.pdb,ATP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,59.0
7w4o_1.pdb_7w4o_1_E2H_L.pdb,E2H,CC1(CC1)NC2=N[S](=O)(=O)c3sc(Cl)cc3N2,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,O=S1(=O)N=C(NC2CC2)Nc2ccsc21,1307,159.0
2bjm_1.pdb_2bjm_1_ANF_C2.pdb,ANF,Oc1c2ccccc2cc3ccccc13,c1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,1308,158.0
2bjm_1.pdb_2bjm_1_ANF_C1.pdb,ANF,Oc1c2ccccc2cc3ccccc13,c1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,1308,158.0
